image_id,label,image_path,parent_id,pixel_bounds
patch-100-1475-125-1491-#SK0468_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-100-1475-125-1491-#SK0468_combined.tif#.png,SK0468_combined.tif,"(100, 1475, 125, 1491)"
patch-1075-850-1100-875-#SK0468_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1075-850-1100-875-#SK0468_combined.tif#.png,SK0468_combined.tif,"(1075, 850, 1100, 875)"
patch-1150-1075-1175-1100-#SK0468_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1150-1075-1175-1100-#SK0468_combined.tif#.png,SK0468_combined.tif,"(1150, 1075, 1175, 1100)"
patch-175-1175-200-1200-#SK0469_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-175-1175-200-1200-#SK0469_combined.tif#.png,SK0469_combined.tif,"(175, 1175, 200, 1200)"
patch-225-100-250-125-#SK0469_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-225-100-250-125-#SK0469_combined.tif#.png,SK0469_combined.tif,"(225, 100, 250, 125)"
patch-725-975-750-1000-#SK0469_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-725-975-750-1000-#SK0469_combined.tif#.png,SK0469_combined.tif,"(725, 975, 750, 1000)"
patch-1125-1225-1150-1250-#SK0469_combined.tif#.png,wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1125-1225-1150-1250-#SK0469_combined.tif#.png,SK0469_combined.tif,"(1125, 1225, 1150, 1250)"
patch-1150-850-1175-875-#SK0469_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1150-850-1175-875-#SK0469_combined.tif#.png,SK0469_combined.tif,"(1150, 850, 1175, 875)"
patch-1225-900-1250-925-#SK0469_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1225-900-1250-925-#SK0469_combined.tif#.png,SK0469_combined.tif,"(1225, 900, 1250, 925)"
patch-675-975-700-1000-#SK0567_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-675-975-700-1000-#SK0567_combined.tif#.png,SK0567_combined.tif,"(675, 975, 700, 1000)"
patch-975-700-1000-725-#SK0567_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-975-700-1000-725-#SK0567_combined.tif#.png,SK0567_combined.tif,"(975, 700, 1000, 725)"
patch-1250-125-1275-150-#SK0567_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1250-125-1275-150-#SK0567_combined.tif#.png,SK0567_combined.tif,"(1250, 125, 1275, 150)"
patch-1350-275-1375-300-#SK0567_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1350-275-1375-300-#SK0567_combined.tif#.png,SK0567_combined.tif,"(1350, 275, 1375, 300)"
patch-1125-350-1150-375-#SK0568_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1125-350-1150-375-#SK0568_combined.tif#.png,SK0568_combined.tif,"(1125, 350, 1150, 375)"
patch-1350-900-1375-925-#SK0568_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1350-900-1375-925-#SK0568_combined.tif#.png,SK0568_combined.tif,"(1350, 900, 1375, 925)"
patch-1375-1475-1400-1492-#SK0568_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1375-1475-1400-1492-#SK0568_combined.tif#.png,SK0568_combined.tif,"(1375, 1475, 1400, 1492)"
patch-75-1475-100-1492-#SK0569_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-75-1475-100-1492-#SK0569_combined.tif#.png,SK0569_combined.tif,"(75, 1475, 100, 1492)"
patch-825-500-850-525-#SK0569_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-825-500-850-525-#SK0569_combined.tif#.png,SK0569_combined.tif,"(825, 500, 850, 525)"
patch-50-75-75-100-#SK0651_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-50-75-75-100-#SK0651_combined.tif#.png,SK0651_combined.tif,"(50, 75, 75, 100)"
patch-225-650-250-675-#SK0651_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-225-650-250-675-#SK0651_combined.tif#.png,SK0651_combined.tif,"(225, 650, 250, 675)"
patch-1075-300-1100-325-#SK0651_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1075-300-1100-325-#SK0651_combined.tif#.png,SK0651_combined.tif,"(1075, 300, 1100, 325)"
patch-125-0-150-25-#SK0652_combined.tif#.png,wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-125-0-150-25-#SK0652_combined.tif#.png,SK0652_combined.tif,"(125, 0, 150, 25)"
patch-450-700-475-725-#SK0652_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-450-700-475-725-#SK0652_combined.tif#.png,SK0652_combined.tif,"(450, 700, 475, 725)"
patch-1175-1100-1200-1125-#SK0652_combined.tif#.png,no_wall,/home/david/Documents/GitHub/cnn-boundaries/content/tifs/patches/patch-1175-1100-1200-1125-#SK0652_combined.tif#.png,SK0652_combined.tif,"(1175, 1100, 1200, 1125)"
